id;person1_id;person2_id;marriage;separation;local;created_at;updated_at
297;932;933;1890-01-01;;Fukuoka. Dia e mes desconhecidos;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
298;934;935;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
299;924;938;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
300;940;941;1915-01-01;;Saga. Dia e mes desconhecidos;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
301;716;942;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
302;711;945;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
303;712;948;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
304;714;953;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
305;954;955;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
306;710;957;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
307;142;958;2005-01-28;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
308;94;961;;;;2023-05-15 01:37:05 UTC;2023-05-15 01:37:05 UTC
309;276;969;;;;2023-05-15 01:37:05 UTC;2023-05-15 01:37:05 UTC
310;966;967;;;;2023-05-15 01:37:05 UTC;2023-05-15 01:37:05 UTC
311;228;973;;;;2023-05-15 01:37:05 UTC;2023-05-15 01:37:05 UTC
312;977;978;;;;2023-05-15 01:37:05 UTC;2023-05-15 01:37:05 UTC
313;985;986;;;;2023-05-15 01:37:05 UTC;2023-05-15 01:37:05 UTC
314;991;992;;;;2023-05-15 01:37:06 UTC;2023-05-15 01:37:06 UTC
315;980;998;;;;2023-05-15 01:37:06 UTC;2023-05-15 01:37:06 UTC
316;236;1000;;;;2023-05-15 01:37:06 UTC;2023-05-15 01:37:06 UTC
